graph,label,target_prompt,target_position,source_position
"[['dark meat', 'is a part of', '<extra_id_0>']]",second joint,summarize: dark meat is a part of <extra_id_0>,9,5
"[['work', 'is a manner of', '<extra_id_0>']]",stimulate,summarize: work is a manner of <extra_id_0>,8,5
"[['ideals', 'causes desire', '<extra_id_0>']]",change society,summarize: ideals causes desire <extra_id_0>,6,2
"[['full bladder', 'causes desire', '<extra_id_0>']]",urinate,summarize: full bladder causes desire <extra_id_0>,6,2
"[['apples', 'is', '<extra_id_0>']]",edible,summarize: apples is <extra_id_0>,4,1
"[['sneeze', 'is a manner of', '<extra_id_0>']]",act involuntarily,summarize: sneeze is a manner of <extra_id_0>,12,5
"[['marijuana', 'is used for', '<extra_id_0>']]",getting high,summarize: marijuana is used for <extra_id_0>,6,3
"[['smoking marijuana', 'is used for', '<extra_id_0>']]",pleasure,summarize: smoking marijuana is used for <extra_id_0>,7,3
"[['leg', 'is distinct from', '<extra_id_0>']]",hands,summarize: leg is distinct from <extra_id_0>,6,3
"[['iron sulfide', 'is a form of', '<extra_id_0>']]",iron sulphide,summarize: iron sulfide is a form of <extra_id_0>,13,5
"[['liner', 'is a part of', '<extra_id_0>']]",garment,summarize: liner is a part of <extra_id_0>,9,5
"[['forebeat', 'has context', '<extra_id_0>']]",music,summarize: forebeat has context <extra_id_0>,7,2
"[['yard', 'is a part of', '<extra_id_0>']]",fathom,summarize: yard is a part of <extra_id_0>,8,5
"[['slice', 'is distinct from', '<extra_id_0>']]",good,summarize: slice is distinct from <extra_id_0>,6,3
"[['eat vegetables', 'has prerequisite', '<extra_id_0>']]",rabbit,summarize: eat vegetables has prerequisite <extra_id_0>,7,2
"[['special event', 'causes desire', '<extra_id_0>']]",go somewhere,summarize: special event causes desire <extra_id_0>,6,2
"[['walk in rain', 'is motivated by', '<extra_id_0>']]",have,summarize: walk in rain is motivated by <extra_id_0>,8,3
"[['conquer opponent', 'is motivated by', '<extra_id_0>']]",rule,summarize: conquer opponent is motivated by <extra_id_0>,7,3
"[['naked', 'is distinct from', '<extra_id_0>']]",protected,summarize: naked is distinct from <extra_id_0>,6,3
"[['first floor', 'is used for', '<extra_id_0>']]",family,summarize: first floor is used for <extra_id_0>,7,3
"[['porcelain', 'is', '<extra_id_0>']]",hard,summarize: porcelain is <extra_id_0>,4,1
"[['having food', 'has prerequisite', '<extra_id_0>']]",farming,summarize: having food has prerequisite <extra_id_0>,6,2
"[['person', 'is capable of', '<extra_id_0>']]",step up,summarize: person is capable of <extra_id_0>,6,3
"[['buy beer', 'is motivated by', '<extra_id_0>']]",relax,summarize: buy beer is motivated by <extra_id_0>,7,3
"[['swim', 'is motivated by', '<extra_id_0>']]",cool off,summarize: swim is motivated by <extra_id_0>,6,3
"[['blue sky', 'is a form of', '<extra_id_0>']]",blue skies,summarize: blue sky is a form of <extra_id_0>,9,5
"[['evil', 'is distinct from', '<extra_id_0>']]",kind,summarize: evil is distinct from <extra_id_0>,6,3
"[['something you', 'is capable of', '<extra_id_0>']]",make haste,summarize: something you is capable of <extra_id_0>,7,3
"[['christmas shop', 'has prerequisite', '<extra_id_0>']]",go to store,summarize: christmas shop has prerequisite <extra_id_0>,6,2
"[['cold', 'causes desire', '<extra_id_0>']]",spit,summarize: cold causes desire <extra_id_0>,5,2
"[['surf rider', 'is a form of', '<extra_id_0>']]",surfrider,summarize: surf rider is a form of <extra_id_0>,10,5
"[['skate', 'is motivated by', '<extra_id_0>']]",excercise,summarize: skate is motivated by <extra_id_0>,6,3
"[['saxophone', 'is in', '<extra_id_0>']]",marching band,summarize: saxophone is in <extra_id_0>,10,2
"[['fetch', 'is a', '<extra_id_0>']]",action,summarize: fetch is a <extra_id_0>,6,3
"[['eat ice cream', 'is motivated by', '<extra_id_0>']]",gratification,summarize: eat ice cream is motivated by <extra_id_0>,10,3
"[['resizeable', 'is a form of', '<extra_id_0>']]",resizable,summarize: resizeable is a form of <extra_id_0>,11,5
"[['touch wood', 'has context', '<extra_id_0>']]",new zealand,summarize: touch wood has context <extra_id_0>,6,2
"[['roommate', 'is capable of', '<extra_id_0>']]",cook dinner,summarize: roommate is capable of <extra_id_0>,7,3
"[['learning new language', 'has subevent', '<extra_id_0>']]",practice,summarize: learning new language has subevent <extra_id_0>,9,4
"[['learn new', 'is motivated by', '<extra_id_0>']]",to,summarize: learn new is motivated by <extra_id_0>,7,3
"[['represent', 'is an antonym of', '<extra_id_0>']]",lawyer,summarize: represent is an antonym of <extra_id_0>,9,6
"[['balloons', 'is capable of', '<extra_id_0>']]",go up,summarize: balloons is capable of <extra_id_0>,7,3
"[['go to play', 'has prerequisite', '<extra_id_0>']]",on time,summarize: go to play has prerequisite <extra_id_0>,7,2
"[['shallow water', 'is used for', '<extra_id_0>']]",cool off,summarize: shallow water is used for <extra_id_0>,7,3
"[['testee', 'is a synonym of', '<extra_id_0>']]",subject,summarize: testee is a synonym of <extra_id_0>,10,5
"[['celebrate', 'has prerequisite', '<extra_id_0>']]",drink alcohol,summarize: celebrate has prerequisite <extra_id_0>,5,2
"[['dogs', 'is', '<extra_id_0>']]",noisy,summarize: dogs is <extra_id_0>,4,1
"[['quartz', 'is a', '<extra_id_0>']]",rock,summarize: quartz is a <extra_id_0>,6,3
"[['string out', 'is a manner of', '<extra_id_0>']]",arrange,summarize: string out is a manner of <extra_id_0>,9,5
"[['can', 'is an antonym of', '<extra_id_0>']]",unable,summarize: can is an antonym of <extra_id_0>,9,6
"[['flowers', 'is', '<extra_id_0>']]",blue,summarize: flowers is <extra_id_0>,4,1
"[['make shopping list', 'is motivated by', '<extra_id_0>']]",organized,summarize: make shopping list is motivated by <extra_id_0>,8,3
"[['large dog', 'is', '<extra_id_0>']]",tall,summarize: large dog is <extra_id_0>,5,1
"[['answer questions', 'has prerequisite', '<extra_id_0>']]",ask,summarize: answer questions has prerequisite <extra_id_0>,6,2
"[['fiction', 'is an antonym of', '<extra_id_0>']]",non fiction,summarize: fiction is an antonym of <extra_id_0>,9,6
"[['animalcule', 'has context', '<extra_id_0>']]",historical,summarize: animalcule has context <extra_id_0>,7,2
"[['most', 'is', '<extra_id_0>']]",corrupt,summarize: most is <extra_id_0>,4,1
"[['yells', 'has subevent', '<extra_id_0>']]",no kidding,summarize: yells has subevent <extra_id_0>,10,4
"[['playing cards', 'has prerequisite', '<extra_id_0>']]",appetite,summarize: playing cards has prerequisite <extra_id_0>,6,2
"[['scenery', 'is', '<extra_id_0>']]",romantic,summarize: scenery is <extra_id_0>,4,1
"[['berylline hummingbird', 'is a', '<extra_id_0>']]",bird,summarize: berylline hummingbird is a <extra_id_0>,12,3
"[['intermittence', 'is a', '<extra_id_0>']]",irregularity,summarize: intermittence is a <extra_id_0>,8,3
"[['breathe', 'is a manner of', '<extra_id_0>']]",express,summarize: breathe is a manner of <extra_id_0>,8,5
"[['country music', 'is capable of', '<extra_id_0>']]",use,summarize: country music is capable of <extra_id_0>,7,3
"[['danaid', 'is a', '<extra_id_0>']]",butterfly,summarize: danaid is a <extra_id_0>,8,3
"[['playing sport', 'causes', '<extra_id_0>']]",injuries,summarize: playing sport causes <extra_id_0>,5,1
"[['serve customers', 'is motivated by', '<extra_id_0>']]",help,summarize: serve customers is motivated by <extra_id_0>,7,3
"[['disqualify', 'is a manner of', '<extra_id_0>']]",change,summarize: disqualify is a manner of <extra_id_0>,10,5
"[['grapefruit', 'is distinct from', '<extra_id_0>']]",clementine,summarize: grapefruit is distinct from <extra_id_0>,7,3
"[['tiaras', 'is a form of', '<extra_id_0>']]",tiara,summarize: tiaras is a form of <extra_id_0>,12,5
"[['interior designers', 'is a form of', '<extra_id_0>']]",interior designer,summarize: interior designers is a form of <extra_id_0>,9,5
"[['family room', 'is used for', '<extra_id_0>']]",play cards,summarize: family room is used for <extra_id_0>,7,3
"[['container', 'is in', '<extra_id_0>']]",pantry,summarize: container is in <extra_id_0>,5,2
"[['lose', 'is an antonym of', '<extra_id_0>']]",come across,summarize: lose is an antonym of <extra_id_0>,9,6
"[['climbing mountain', 'causes', '<extra_id_0>']]",pain,summarize: climbing mountain causes <extra_id_0>,5,1
"[['cough medicine', 'is a synonym of', '<extra_id_0>']]",antitussive,summarize: cough medicine is a synonym of <extra_id_0>,9,5
"[['southern', 'is an antonym of', '<extra_id_0>']]",septentrional,summarize: southern is an antonym of <extra_id_0>,9,6
"[['precipitance', 'is a synonym of', '<extra_id_0>']]",abruptness,summarize: precipitance is a synonym of <extra_id_0>,9,5
"[['tramp', 'is a synonym of', '<extra_id_0>']]",swinger,summarize: tramp is a synonym of <extra_id_0>,9,5
"[['communize', 'is an antonym of', '<extra_id_0>']]",decommunize,summarize: communize is an antonym of <extra_id_0>,10,6
"[['listening to music', 'has prerequisite', '<extra_id_0>']]",black sabbath,summarize: listening to music has prerequisite <extra_id_0>,7,2
"[['chair', 'is capable of', '<extra_id_0>']]",stand alone,summarize: chair is capable of <extra_id_0>,6,3
"[['freeload', 'is a manner of', '<extra_id_0>']]",mooch,summarize: freeload is a manner of <extra_id_0>,9,5
"[['beautiful', 'is an antonym of', '<extra_id_0>']]",grotesque,summarize: beautiful is an antonym of <extra_id_0>,9,6
"[['gambling', 'is', '<extra_id_0>']]",stupid,summarize: gambling is <extra_id_0>,4,1
"[['children', 'is', '<extra_id_0>']]",annoying,summarize: children is <extra_id_0>,4,1
"[['rose chestnut', 'is a', '<extra_id_0>']]",tree,summarize: rose chestnut is a <extra_id_0>,8,3
"[['rider', 'is capable of', '<extra_id_0>']]",trainer,summarize: rider is capable of <extra_id_0>,7,3
"[['minted', 'has context', '<extra_id_0>']]",british,summarize: minted has context <extra_id_0>,7,2
"[['flood', 'is an antonym of', '<extra_id_0>']]",drain,summarize: flood is an antonym of <extra_id_0>,9,6
"[['touch', 'is distinct from', '<extra_id_0>']]",tasting,summarize: touch is distinct from <extra_id_0>,6,3
"[['elevate', 'is an antonym of', '<extra_id_0>']]",decrease,summarize: elevate is an antonym of <extra_id_0>,9,6
"[['follow recipe', 'is motivated by', '<extra_id_0>']]",bake,summarize: follow recipe is motivated by <extra_id_0>,7,3
"[['taking examination', 'has prerequisite', '<extra_id_0>']]",intelligence,summarize: taking examination has prerequisite <extra_id_0>,6,2
"[['features', 'is', '<extra_id_0>']]",complex,summarize: features is <extra_id_0>,4,1
"[['motel', 'is used for', '<extra_id_0>']]",people,summarize: motel is used for <extra_id_0>,7,3
"[['care givers', 'is a form of', '<extra_id_0>']]",care giver,summarize: care givers is a form of <extra_id_0>,11,5
"[['butter', 'is', '<extra_id_0>']]",edible,summarize: butter is <extra_id_0>,4,1
"[['harry', 'is', '<extra_id_0>']]",nuts,summarize: harry is <extra_id_0>,6,1
"[['innocuous', 'is an antonym of', '<extra_id_0>']]",poisonous,summarize: innocuous is an antonym of <extra_id_0>,11,6
"[['statement', 'is in', '<extra_id_0>']]",letter,summarize: statement is in <extra_id_0>,5,2
"[['short stop', 'is a form of', '<extra_id_0>']]",shortstop,summarize: short stop is a form of <extra_id_0>,9,5
"[['condom', 'is in', '<extra_id_0>']]",wallet,summarize: condom is in <extra_id_0>,6,2
"[['watching movie', 'is used for', '<extra_id_0>']]",laughing,summarize: watching movie is used for <extra_id_0>,7,3
"[['living', 'causes', '<extra_id_0>']]",happiness,summarize: living causes <extra_id_0>,4,1
"[['masonite', 'is capable of', '<extra_id_0>']]",gessoed,summarize: masonite is capable of <extra_id_0>,9,3
"[['boredom', 'causes desire', '<extra_id_0>']]",fiddle,summarize: boredom causes desire <extra_id_0>,6,2
"[['giving assistance', 'has prerequisite', '<extra_id_0>']]",concern for others,summarize: giving assistance has prerequisite <extra_id_0>,6,2
"[['curiosity', 'causes desire', '<extra_id_0>']]",read newspaper,summarize: curiosity causes desire <extra_id_0>,5,2
"[['bananas', 'is in', '<extra_id_0>']]",store,summarize: bananas is in <extra_id_0>,6,2
"[['joke', 'causes', '<extra_id_0>']]",laughter,summarize: joke causes <extra_id_0>,4,1
"[['honey', 'is a', '<extra_id_0>']]",translucence,summarize: honey is a <extra_id_0>,6,3
"[['stars', 'is', '<extra_id_0>']]",big,summarize: stars is <extra_id_0>,4,1
"[['wake up in morning', 'has prerequisite', '<extra_id_0>']]",finish sleeping,summarize: wake up in morning has prerequisite <extra_id_0>,8,2
"[['bounden', 'is an antonym of', '<extra_id_0>']]",unbounden,summarize: bounden is an antonym of <extra_id_0>,10,6
"[['open gift', 'has subevent', '<extra_id_0>']]",smile,summarize: open gift has subevent <extra_id_0>,8,4
"[['carrol', 'is a form of', '<extra_id_0>']]",carrel,summarize: carrol is a form of <extra_id_0>,9,5
"[['new mexico', 'is a part of', '<extra_id_0>']]",southwest,summarize: new mexico is a part of <extra_id_0>,11,5
"[['sleeping', 'has prerequisite', '<extra_id_0>']]",tired,summarize: sleeping has prerequisite <extra_id_0>,5,2
"[['work of art', 'is used for', '<extra_id_0>']]",admiring,summarize: work of art is used for <extra_id_0>,8,3
"[['unbroken', 'is an antonym of', '<extra_id_0>']]",domesticated,summarize: unbroken is an antonym of <extra_id_0>,11,6
"[['assure', 'is distinct from', '<extra_id_0>']]",torture,summarize: assure is distinct from <extra_id_0>,6,3
"[['learn about subject', 'is motivated by', '<extra_id_0>']]",smarter,summarize: learn about subject is motivated by <extra_id_0>,8,3
"[['weak', 'is a synonym of', '<extra_id_0>']]",strengthless,summarize: weak is a synonym of <extra_id_0>,8,5
"[['lie', 'has prerequisite', '<extra_id_0>']]",not,summarize: lie has prerequisite <extra_id_0>,5,2
"[['tie up', 'is a synonym of', '<extra_id_0>']]",stand,summarize: tie up is a synonym of <extra_id_0>,9,5
"[['crumb', 'is a manner of', '<extra_id_0>']]",break up,summarize: crumb is a manner of <extra_id_0>,9,5
"[['floating point', 'has context', '<extra_id_0>']]",computing,summarize: floating point has context <extra_id_0>,6,2
"[['book', 'is used for', '<extra_id_0>']]",impressing,summarize: book is used for <extra_id_0>,6,3
"[['ocd', 'is', '<extra_id_0>']]",bad,summarize: ocd is <extra_id_0>,7,1
"[['paved thing', 'is a', '<extra_id_0>']]",tangible thing,summarize: paved thing is a <extra_id_0>,8,3
"[['running', 'is used for', '<extra_id_0>']]",losing weight,summarize: running is used for <extra_id_0>,6,3
"[['handwheel', 'is a part of', '<extra_id_0>']]",standing press,summarize: handwheel is a part of <extra_id_0>,9,5
"[['cyanosis', 'is a part of', '<extra_id_0>']]",carbon monoxide poisoning,summarize: cyanosis is a part of <extra_id_0>,12,5
"[['scrawny', 'is distinct from', '<extra_id_0>']]",thickset,summarize: scrawny is distinct from <extra_id_0>,10,3
"[['rock', 'is a synonym of', '<extra_id_0>']]",rock n roll,summarize: rock is a synonym of <extra_id_0>,8,5
"[['wait tables', 'is motivated by', '<extra_id_0>']]",earn money,summarize: wait tables is motivated by <extra_id_0>,7,3
"[['pain', 'causes desire', '<extra_id_0>']]",know if you're healthy,summarize: pain causes desire <extra_id_0>,5,2
"[['drinking water', 'causes desire', '<extra_id_0>']]",empty bladder,summarize: drinking water causes desire <extra_id_0>,6,2
"[['beds', 'is in', '<extra_id_0>']]",hospital,summarize: beds is in <extra_id_0>,5,2
"[['misbehave', 'has subevent', '<extra_id_0>']]",lie,summarize: misbehave has subevent <extra_id_0>,9,4
"[['turkey', 'is a part of', '<extra_id_0>']]",balkan peninsula,summarize: turkey is a part of <extra_id_0>,8,5
"[['frivolousness', 'is distinct from', '<extra_id_0>']]",solemnness,summarize: frivolousness is distinct from <extra_id_0>,9,3
"[['enjoy company of friends', 'has prerequisite', '<extra_id_0>']]",invite,summarize: enjoy company of friends has prerequisite <extra_id_0>,8,2
"[['drilling hole', 'has prerequisite', '<extra_id_0>']]",shovel,summarize: drilling hole has prerequisite <extra_id_0>,6,2
"[['snow', 'causes desire', '<extra_id_0>']]",view film at home,summarize: snow causes desire <extra_id_0>,5,2
"[['stamp', 'is a part of', '<extra_id_0>']]",battery,summarize: stamp is a part of <extra_id_0>,8,5
"[['sex', 'causes', '<extra_id_0>']]",venereal disease,summarize: sex causes <extra_id_0>,6,1
"[['people', 'is', '<extra_id_0>']]",jealous,summarize: people is <extra_id_0>,4,1
"[['knocking out', 'is a form of', '<extra_id_0>']]",knock out,summarize: knocking out is a form of <extra_id_0>,10,5
"[['bathtub', 'is used for', '<extra_id_0>']]",take bath,summarize: bathtub is used for <extra_id_0>,6,3
"[['person', 'is capable of', '<extra_id_0>']]",fall asleep,summarize: person is capable of <extra_id_0>,6,3
"[['think', 'is motivated by', '<extra_id_0>']]",rational,summarize: think is motivated by <extra_id_0>,6,3
"[['mahdi', 'has context', '<extra_id_0>']]",islam,summarize: mahdi has context <extra_id_0>,8,2
"[['tickling', 'causes', '<extra_id_0>']]",squirming,summarize: tickling causes <extra_id_0>,5,1
"[['hitting bottle', 'has prerequisite', '<extra_id_0>']]",sadness,summarize: hitting bottle has prerequisite <extra_id_0>,6,2
"[['little boys', 'is a form of', '<extra_id_0>']]",little boy,summarize: little boys is a form of <extra_id_0>,9,5
"[['inaugural address', 'is a part of', '<extra_id_0>']]",inauguration,summarize: inaugural address is a part of <extra_id_0>,9,5
"[['water', 'is capable of', '<extra_id_0>']]",move mountains,summarize: water is capable of <extra_id_0>,6,3
"[['ferret', 'is in', '<extra_id_0>']]",europe,summarize: ferret is in <extra_id_0>,7,2
"[['summertime', 'is', '<extra_id_0>']]",hot,summarize: summertime is <extra_id_0>,5,1
"[['bad', 'is an antonym of', '<extra_id_0>']]",competent,summarize: bad is an antonym of <extra_id_0>,9,6
"[['pons', 'is a form of', '<extra_id_0>']]",pon,summarize: pons is a form of <extra_id_0>,10,5
"[['equipment', 'is used for', '<extra_id_0>']]",undertake,summarize: equipment is used for <extra_id_0>,6,3
"[['polish', 'is a synonym of', '<extra_id_0>']]",panache,summarize: polish is a synonym of <extra_id_0>,8,5
"[['candle', 'is in', '<extra_id_0>']]",cabinet,summarize: candle is in <extra_id_0>,5,2
"[['porcelain', 'is', '<extra_id_0>']]",nonporous,summarize: porcelain is <extra_id_0>,4,1
"[['opposition', 'is an antonym of', '<extra_id_0>']]",apposition,summarize: opposition is an antonym of <extra_id_0>,9,6
"[['falsity', 'is an antonym of', '<extra_id_0>']]",verity,summarize: falsity is an antonym of <extra_id_0>,11,6
"[['thoroughfare', 'is used for', '<extra_id_0>']]",transportation,summarize: thoroughfare is used for <extra_id_0>,8,3
"[['amiable', 'is distinct from', '<extra_id_0>']]",ill natured,summarize: amiable is distinct from <extra_id_0>,8,3
"[['conjugate acid', 'has context', '<extra_id_0>']]",chemistry,summarize: conjugate acid has context <extra_id_0>,7,2
"[['disabled sports', 'is a synonym of', '<extra_id_0>']]",parasports,summarize: disabled sports is a synonym of <extra_id_0>,9,5
"[['thanksgiving day', 'is a synonym of', '<extra_id_0>']]",turkey day,summarize: thanksgiving day is a synonym of <extra_id_0>,10,5
"[['thanking', 'is used for', '<extra_id_0>']]",courtesy,summarize: thanking is used for <extra_id_0>,7,3
"[['bulldog clip', 'is a part of', '<extra_id_0>']]",clip lead,summarize: bulldog clip is a part of <extra_id_0>,10,5
"[['enjoy film', 'is motivated by', '<extra_id_0>']]",see movie,summarize: enjoy film is motivated by <extra_id_0>,7,3
"[['hanoi', 'is a part of', '<extra_id_0>']]",viet nam,summarize: hanoi is a part of <extra_id_0>,9,5
"[['roads', 'is used for', '<extra_id_0>']]",traffic,summarize: roads is used for <extra_id_0>,6,3
"[['penis', 'is capable of', '<extra_id_0>']]",ejaculate,summarize: penis is capable of <extra_id_0>,7,3
"[['go to pub', 'is motivated by', '<extra_id_0>']]",eat sandwich,summarize: go to pub is motivated by <extra_id_0>,8,3
"[['forestall', 'has context', '<extra_id_0>']]",legal,summarize: forestall has context <extra_id_0>,6,2
"[['clinging', 'is a form of', '<extra_id_0>']]",cling,summarize: clinging is a form of <extra_id_0>,11,5
"[['destroy enemy', 'has prerequisite', '<extra_id_0>']]",hatred,summarize: destroy enemy has prerequisite <extra_id_0>,6,2
"[['squirrel', 'is in', '<extra_id_0>']]",roof,summarize: squirrel is in <extra_id_0>,5,2
"[['moral hazard', 'has context', '<extra_id_0>']]",economics,summarize: moral hazard has context <extra_id_0>,8,2
"[['never', 'is distinct from', '<extra_id_0>']]",happening,summarize: never is distinct from <extra_id_0>,6,3
"[['lapland', 'is a part of', '<extra_id_0>']]",norrland,summarize: lapland is a part of <extra_id_0>,10,5
"[['have examination', 'is motivated by', '<extra_id_0>']]",make sure you're healthy,summarize: have examination is motivated by <extra_id_0>,7,3
"[['playing baseball', 'causes', '<extra_id_0>']]",injury,summarize: playing baseball causes <extra_id_0>,5,1
"[['having fun', 'has subevent', '<extra_id_0>']]",playing paintball,summarize: having fun has subevent <extra_id_0>,8,4
"[['highway', 'is used for', '<extra_id_0>']]",speeding,summarize: highway is used for <extra_id_0>,6,3
"[['dash', 'is a manner of', '<extra_id_0>']]",thwart,summarize: dash is a manner of <extra_id_0>,9,5
"[['driving', 'has subevent', '<extra_id_0>']]",night blindness,summarize: driving has subevent <extra_id_0>,7,4
"[['them', 'is distinct from', '<extra_id_0>']]",you,summarize: them is distinct from <extra_id_0>,6,3
"[['lammas', 'has context', '<extra_id_0>']]",england,summarize: lammas has context <extra_id_0>,7,2
"[['play tennis', 'is motivated by', '<extra_id_0>']]",conquer opponent,summarize: play tennis is motivated by <extra_id_0>,7,3
"[['adagio', 'is a part of', '<extra_id_0>']]",pas de deux,summarize: adagio is a part of <extra_id_0>,12,5
"[['in bathroom', 'has subevent', '<extra_id_0>']]",wash hands,summarize: in bathroom has subevent <extra_id_0>,8,4
"[['thirst', 'is', '<extra_id_0>']]",uncomfortable,summarize: thirst is <extra_id_0>,4,1
"[['prorogue', 'is a manner of', '<extra_id_0>']]",adjourn,summarize: prorogue is a manner of <extra_id_0>,10,5
"[['corporations', 'is a form of', '<extra_id_0>']]",corporation,summarize: corporations is a form of <extra_id_0>,8,5
"[['talking to', 'causes', '<extra_id_0>']]",understand better,summarize: talking to causes <extra_id_0>,5,1
"[['invalid', 'is capable of', '<extra_id_0>']]",read,summarize: invalid is capable of <extra_id_0>,6,3
"[['drink coffee', 'has prerequisite', '<extra_id_0>']]",reconsider,summarize: drink coffee has prerequisite <extra_id_0>,6,2
"[['highball', 'has context', '<extra_id_0>']]",climbing,summarize: highball has context <extra_id_0>,6,2
"[['diminuendo', 'is an antonym of', '<extra_id_0>']]",crescendo,summarize: diminuendo is an antonym of <extra_id_0>,11,6
"[['canned meat', 'is a', '<extra_id_0>']]",canned food,summarize: canned meat is a <extra_id_0>,7,3
"[['skating', 'has prerequisite', '<extra_id_0>']]",cold weather,summarize: skating has prerequisite <extra_id_0>,5,2
"[['give gift', 'has subevent', '<extra_id_0>']]",gratitude,summarize: give gift has subevent <extra_id_0>,8,4
"[['dying', 'is used for', '<extra_id_0>']]",recoloring,summarize: dying is used for <extra_id_0>,6,3
"[['made', 'is a form of', '<extra_id_0>']]",myek,summarize: made is a form of <extra_id_0>,8,5
"[[""baby's bottle"", 'is a form of', '<extra_id_0>']]",baby bottle,summarize: baby's bottle is a form of <extra_id_0>,11,5
"[['striker', 'is capable of', '<extra_id_0>']]",ring bell,summarize: striker is capable of <extra_id_0>,7,3
"[['plate', 'is used for', '<extra_id_0>']]",eating meal,summarize: plate is used for <extra_id_0>,6,3
"[['prostitute', 'is capable of', '<extra_id_0>']]",open legs,summarize: prostitute is capable of <extra_id_0>,8,3
"[['having bath', 'causes', '<extra_id_0>']]",cleanness,summarize: having bath causes <extra_id_0>,5,1
"[['belong', 'is distinct from', '<extra_id_0>']]",outsider,summarize: belong is distinct from <extra_id_0>,6,3
"[['going for walk', 'is used for', '<extra_id_0>']]",recreation,summarize: going for walk is used for <extra_id_0>,8,3
"[['pointed', 'is an antonym of', '<extra_id_0>']]",blunt,summarize: pointed is an antonym of <extra_id_0>,9,6
"[['belgium', 'is a part of', '<extra_id_0>']]",europe,summarize: belgium is a part of <extra_id_0>,11,5
"[['people', 'is capable of', '<extra_id_0>']]",gay,summarize: people is capable of <extra_id_0>,6,3
"[['either', 'is distinct from', '<extra_id_0>']]",decision,summarize: either is distinct from <extra_id_0>,6,3
"[['vamp', 'is a manner of', '<extra_id_0>']]",repair,summarize: vamp is a manner of <extra_id_0>,9,5
"[['shank', 'is a part of', '<extra_id_0>']]",handle,summarize: shank is a part of <extra_id_0>,9,5
"[['clear', 'is an antonym of', '<extra_id_0>']]",confusing,summarize: clear is an antonym of <extra_id_0>,9,6
"[['find information', 'has prerequisite', '<extra_id_0>']]",look up,summarize: find information has prerequisite <extra_id_0>,6,2
"[['refereeing', 'has subevent', '<extra_id_0>']]",blowing whistle,summarize: refereeing has subevent <extra_id_0>,10,4
"[['get out', 'has context', '<extra_id_0>']]",slang,summarize: get out has context <extra_id_0>,6,2
"[['government', 'is distinct from', '<extra_id_0>']]",evil,summarize: government is distinct from <extra_id_0>,6,3
"[['emmental', 'is a part of', '<extra_id_0>']]",bern,summarize: emmental is a part of <extra_id_0>,11,5
"[['catfisting', 'is a synonym of', '<extra_id_0>']]",stumping,summarize: catfisting is a synonym of <extra_id_0>,11,5
"[['pawn', 'is a form of', '<extra_id_0>']]",pwn,summarize: pawn is a form of <extra_id_0>,10,5
"[['popup', 'is a form of', '<extra_id_0>']]",pop up,summarize: popup is a form of <extra_id_0>,9,5
"[['bones', 'is', '<extra_id_0>']]",stiff,summarize: bones is <extra_id_0>,4,1
"[['indian ocean', 'is used for', '<extra_id_0>']]",boats,summarize: indian ocean is used for <extra_id_0>,8,3
"[['aids', 'is a part of', '<extra_id_0>']]",tfz,summarize: aids is a part of <extra_id_0>,9,5
"[['bubbles', 'is capable of', '<extra_id_0>']]",double trouble,summarize: bubbles is capable of <extra_id_0>,7,3
"[['small dog', 'is in', '<extra_id_0>']]",new hampshire,summarize: small dog is in <extra_id_0>,6,2
"[['pistol', 'is used for', '<extra_id_0>']]",reload,summarize: pistol is used for <extra_id_0>,6,3
"[['brussel sprout', 'is a form of', '<extra_id_0>']]",brussels sprout,summarize: brussel sprout is a form of <extra_id_0>,11,5
"[['belly', 'is a part of', '<extra_id_0>']]",vertebrate,summarize: belly is a part of <extra_id_0>,8,5
"[['rats', 'is in', '<extra_id_0>']]",sewer,summarize: rats is in <extra_id_0>,5,2
"[['have nervous breakdown', 'has prerequisite', '<extra_id_0>']]",nervous,summarize: have nervous breakdown has prerequisite <extra_id_0>,7,2
"[['firefly', 'is capable of', '<extra_id_0>']]",light up,summarize: firefly is capable of <extra_id_0>,8,3
"[['airplanes', 'is capable of', '<extra_id_0>']]",slow down,summarize: airplanes is capable of <extra_id_0>,7,3
"[['creating art', 'has subevent', '<extra_id_0>']]",emotion,summarize: creating art has subevent <extra_id_0>,8,4
"[['vegetate', 'is a manner of', '<extra_id_0>']]",propagate,summarize: vegetate is a manner of <extra_id_0>,10,5
"[['operator', 'is in', '<extra_id_0>']]",subway,summarize: operator is in <extra_id_0>,5,2
"[['painting picture', 'has subevent', '<extra_id_0>']]",sign,summarize: painting picture has subevent <extra_id_0>,8,4
"[['fighting enemy', 'has subevent', '<extra_id_0>']]",scream,summarize: fighting enemy has subevent <extra_id_0>,8,4
"[['riding bicycle', 'causes', '<extra_id_0>']]",getting fit,summarize: riding bicycle causes <extra_id_0>,5,1
"[['eyes open', 'has subevent', '<extra_id_0>']]",can see,summarize: eyes open has subevent <extra_id_0>,8,4
"[['blow', 'is a manner of', '<extra_id_0>']]",discharge,summarize: blow is a manner of <extra_id_0>,8,5
"[['cast', 'is a manner of', '<extra_id_0>']]",give,summarize: cast is a manner of <extra_id_0>,8,5
"[['jello', 'is in', '<extra_id_0>']]",hospital,summarize: jello is in <extra_id_0>,7,2
"[['using computer', 'has subevent', '<extra_id_0>']]",backup,summarize: using computer has subevent <extra_id_0>,8,4
